accession	initial_occurrences	passed_crabs	final_retained	manually_discarded	current_status
DQ283127.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ283129.1	1		1	0	retained_final_dataset
DQ283249.1	1		1	0	retained_final_dataset
DQ283257.1	1		1	0	retained_final_dataset
DQ283279.1	1		1	0	retained_final_dataset
DQ283407.1	1		1	0	retained_final_dataset
DQ283432.1	1		1	0	retained_final_dataset
DQ283435.1	1		1	0	retained_final_dataset
DQ283440.1	1		1	0	retained_final_dataset
DQ283441.1	1		1	0	retained_final_dataset
DQ289102.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ289127.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ346993.1	1		1	0	retained_final_dataset
DQ359960.1	1		1	0	retained_final_dataset
DQ494763.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ494769.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642125.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642126.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642127.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642128.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642129.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642130.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642138.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ642139.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ925752.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ925753.1	1		0	0	not_retained_stage_unresolved_without_415_list
EF566953.1	1		1	0	retained_final_dataset
EU116942.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116943.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116944.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116945.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116946.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116947.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116948.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116949.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116950.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116951.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116952.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116953.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116954.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116955.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116956.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116957.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116958.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116959.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116960.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116961.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116962.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116963.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116964.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116965.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116966.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116967.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116968.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116969.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116970.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116971.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116972.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116973.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116974.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116975.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116976.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116977.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116978.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116979.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116980.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116981.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116982.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116983.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116984.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU116985.1	1		0	0	not_retained_stage_unresolved_without_415_list
EU341120.1	1		1	0	retained_final_dataset
EU531332.1	1		1	0	retained_final_dataset
EU531337.1	1		1	0	retained_final_dataset
EU531343.1	1		1	0	retained_final_dataset
EU531347.1	1		1	0	retained_final_dataset
EU531351.1	1		1	0	retained_final_dataset
EU531353.1	1		1	0	retained_final_dataset
EU531354.1	1		1	0	retained_final_dataset
EU531355.1	1		1	0	retained_final_dataset
EU880317.1	1		1	0	retained_final_dataset
EU880331.1	1		1	0	retained_final_dataset
EU880332.1	1		1	0	retained_final_dataset
